"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","분위기","장르 대분류","장르 대분류 영어","카테고리 / 키워드 명칭 (영문)","매칭 상세 설명 및 활용 팁","제목1","프롬프트1(속도 느림)","제목2","프롬프트2(속도 보통)","제목3","프롬프트3(속도 빠름)"
"","64","Dreamy","클래식 / 합주 / 월드뮤직","06_Classical_Ensemble_WorldMusic","China","얼후, 구정 등 중국 전통 현악기의 고풍스럽고 오리엔탈한 음색이 강조된 에스닉 트랙","Bamboo Forest Mist","traditional slow chinese classical, elegant weeping erhu solo instrument, delicate clear guzheng plucking, peaceful zen landscape, atmospheric oriental, 65 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Imperial Garden","mid-tempo modern chinese crossover pop, cheerful dizi flute melody, punchy clean modern electronic pop drums, bright guzheng loops, commercial ready, 115 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Dynasty Warrior Chase","fast aggressive oriental action martial arts score, rapid frantic guzheng riffs, thunderous cinematic taiko drums, urgent sweeping erhu phrases, 138 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","65","Romantic","클래식 / 합주 / 월드뮤직","06_Classical_Ensemble_WorldMusic","France","아코디언 중심의 낭만적인 파리 거리 무드를 연출하는 낭만 테마","Seine River Waltz","romantic slow french musette waltz, emotional solo accordion melody, soft acoustic guitar backing, warm double bass pizzicato, vintage paris cafe mood, 75 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Parisian Boulevard","mid-tempo cheerful french pop jazz, lively swinging accordion chords, bright clean acoustic jazz guitar loops, skipping light snare drums, sophisticated, 112 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Champs-Élysées Rush","fast high-energy euro-pop gypsy jazz, rapid virtuosic acoustic guitar streaming, frantic accordion riffs, driving upright bass, joyous festival energy, 132 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","66","Calm","클래식 / 합주 / 월드뮤직","06_Classical_Ensemble_WorldMusic","Greece","부주키 선율이 이끄는 지중해 연안의 평화롭고 따스한 풍경을 닮은 사운드","Aegean Sunset","traditional slow greek folk, melancholic acoustic bouzouki picking, soft nylon guitar background, gentle ocean wave ambient fx, peaceful mediterranean, 70 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Zorba's Cafe","mid-tempo cheerful greek sirtaki dance, catchy bouzouki lead hooks, rhythmic acoustic guitar streaming, bright syncopated hand percussion, sun-drenched, 110 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Mediterranean Wedding","fast explosive traditional greek celebration, hyperactive rapid bouzouki solo riffs, lively stomping drums, handclaps, high-energy tavern party vibe, 138 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","67","Dreamy","클래식 / 합주 / 월드뮤직","06_Classical_Ensemble_WorldMusic","India","시타르나 타블라 같은 인도 전통 악기의 이국적이고 신비로운 선율의 웰빙 음악","Ganges Meditation","traditional indian ambient raga, slow deep sitar drone improvisation, ethereal mystical flute notes, soft spacey resonance, holy yoga zen mood, 60 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Bollywood Sunset Lounge","mid-tempo indian fusion pop lounge, punchy electronic beats layered with crisp tabla hand drums, catchy sitar hooks, exotic modern lifestyle vibe, 115 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Punjab Explosion","fast high-energy punjabi bhangra dance, frantic rapid dhol drum beats, sharp high-pitched single-string tumbi riffs, joyful shouting club energy, 135 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","68","Upbeat","비디오 씬 / 영상 연출","07_Video_Scenes_and_Cues","Upbeat","영상의 텐션을 올릴 수 있는 경쾌하고 활력 넘치는 비트","Sunny Morning Vlog","light cheerful upbeat pop indie, slow smooth start building into a happy acoustic guitar streaming loop, crisp snap drums, warm bright feeling, 90 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Electric Motivation","mid-tempo high-energy upbeat commercial pop, punchy drum kit, clapping loops, driving bright synth bass, optimistic youthful corporate background, 118 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Maximum Overdrive Pop","fast explosive upbeat dance pop, rapid clean hi-hats, hyperactive driving synthesizer melodies, joyful clapping, unstoppable positive commercial energy, 135 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","69","Upbeat","비디오 씬 / 영상 연출","07_Video_Scenes_and_Cues","Beats","랩/내레이션 배경음, 감각적인 영상 편집 컷에 부합하는 루프 형태의 비트 사운드","Late Night Sketch","chill lo-fi hip-hop beats, slow jazzy rhodes electric piano loop, dusty vinyl record crackle noise, lazy relaxed boom-bap drum pattern, vlog background, 72 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Urban Lookbook","mid-tempo modern lifestyle fashion beats, crisp clean hip-hop drums, punchy bassline, minimalist repeating guitar loop, stylish video montage edit, 100 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Cyber City Flow","upbeat fast electronic hip-hop trap beat, rolling 808 hi-hat machine, heavy hitting sub bass, minimalist dark synth loops, rapid video editing cuts, 130 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","70","Dramatic","비디오 씬 / 영상 연출","07_Video_Scenes_and_Cues","Main Title","영상이나 프로젝트의 시작을 알리는 대표 주제곡 스타일","Cinematic Prologue","slow grand orchestral main title theme, swelling mysterious string sections, distant dramatic horn statement, cinematic timpani rolls, epic opening hook, 68 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Tech Startup Keynote","mid-tempo slick modern main title theme, driving digital pulse bassline, clean crisp acoustic drums, soaring optimistic clean electric guitar melody, 115 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Action Show Opener","fast explosive hybrid electronic orchestral main title, frantic staccato strings, heavy cinematic breakbeats, aggressive brass horns, high tension, 138 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","71","Suspenseful","비디오 씬 / 영상 연출","07_Video_Scenes_and_Cues","Build Up Scenes","긴장감이나 몰입도를 서서히 고조시키는 타이밍에 최적화된 음원","Simmering Tension","slow investigative thriller build-up, ticking clock sound, low deep sub-bass pulse, minimalist quiet string pads swelling very slowly in volume, 70 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","The Escalation","mid-tempo cinematic hybrid electronic build-up, rolling snare drum rolls, rising pitch electronic synths, pounding rhythmic bass, escalating anticipation, 115 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Peak Climax Rush","fast relentless cinematic action build-up, rapid staccato orchestral strings, thunderous taiko percussion gathering speed, explosive wall of sound, 140 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","72","Minimal","비디오 씬 / 영상 연출","07_Video_Scenes_and_Cues","Corporate","기업 홍보 영상, PT, 비즈니스 랜딩 페이지에 어울리는 깔끔하고 신뢰감 주는 사운드","Trusted Foundations","slow elegant corporate background, soft ambient piano chords, smooth minimal strings, gentle muted steady electronic percussion, clean reliable vibe, 85 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Smart Business Innovation","classic mid-tempo corporate success anthem, bright rhythmic acoustic guitar loops, clear plucky synth pulse, crisp clean drum kit, optimistic tech vlog, 115 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Global Enterprise Rush","upbeat fast energetic business motivation, driving modern pop rock drums, soaring clean inspiring electric guitar theme, forward-thinking corporate, 130 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","73","Suspenseful","비디오 씬 / 영상 연출","07_Video_Scenes_and_Cues","Action","역동적이고 긴박한 액션 장면에 매칭하기 좋은 박진감 넘치는 트랙","Dark Alley Stealth","slow dark tense action background, heavy industrial muted percussion hits, grinding low synthesizer bassline, sporadic metallic electronic accents, 80 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Urban Showdown","mid-tempo punchy modern action score, heavy rock drums, distorted hybrid synth bass, aggressive energetic rock rhythm section, intense gaming montage, 118 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Adrenaline Storm","fast explosive cinematic action pursuit, frantic hybrid breakbeats, rapid staccato orchestral strings, screaming analog synth leads, extreme velocity, 142 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","74","Dramatic","비디오 씬 / 영상 연출","07_Video_Scenes_and_Cues","Adventure","웅장하고 모험적인 전개, 스페이스 개척 등의 연출에 어울리는 음악","The Open Valley","slow sweeping cinematic orchestral adventure, soaring soft brass horn theme, majestic swelling symphonic strings, awe-inspiring fantasy landscape vibe, 70 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Quest of the Brave","classic mid-tempo cinematic adventure soundtrack, driving rhythmic orchestral strings, punchy percussion, inspiring woodwind melodies, grand journey, 115 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Uncharted Territory","fast high-energy cinematic adventure score, rapid frantic violin runs, thunderous symphonic percussion ensemble, urgent grand exploration theme, 138 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","75","Minimal","비디오 씬 / 영상 연출","07_Video_Scenes_and_Cues","Intro/Outro","콘텐츠의 시작과 끝을 정돈해 주는 짧고 임팩트 있는 클립용 오디오","Ambient Logo Outro","slow gentle ambient electronic outro clip, fading soft synth chord, minimalist digital chime note, clean smooth fading echo, video logo finish, 75 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Vlog Channel Opener","mid-tempo snappy pop intro clip, punchy drum fill, cheerful looping acoustic guitar riff, whistling hook, brief 15-second high impact channel start, 118 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Action Stinger Quick","fast explosive rock/hybrid intro sting, thunderous sudden drum impact, heavy distorted electric guitar smash, 10-second maximum impact opener, 140 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","76","Calm","비디오 씬 / 영상 연출","07_Video_Scenes_and_Cues","Mystery","비밀스럽고 궁금증을 자아내는 추리, 미스터리 연출에 적합한 사운드","Foggy Noir","slow dark jazz noir mystery, smoky muted solo trumpet melody, slow lazy upright acoustic bass plucks, distant soft cymbal brushes, moody detective vibe, 65 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","The Investigator","mid-tempo investigative thriller score, ticking marimba rhythm, staccato plucky cello string line, subtle electronic pulse, curious plotting mood, 100 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Secrets Unlocked","fast urgent mystery pursuit, rapid syncopated acoustic percussion loop, frantic staccato violin strings, sudden swelling brass stabs, intense puzzle-solving, 130 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","77","Suspenseful","비디오 씬 / 영상 연출","07_Video_Scenes_and_Cues","Chase Scene","추격전처럼 속도감과 팽팽한 긴장감을 주는 빠른 템포의 배경 음악","Footsteps in Dark","slow dark suspenseful chase, low heavy sub bass pulses, industrial ticking clock sound, sudden explosive distant sub impacts, lurking shadows mood, 75 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","The Foot Pursuit","mid-tempo urgent cinematic chase score, driving acoustic drum tracking, syncopated ticking strings, dark moving synth basslines, tactical hunting mood, 115 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Run For Your Life","furious fast-paced action chase score, frantic lightning-fast orchestral string ostinatos, heavy pounding hybrid electronic electronic beats, massive impact, 145 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","78","Nostalgic","비디오 씬 / 영상 연출","07_Video_Scenes_and_Cues","Video Games","레트로 게임이나 8bit 사운드, 혹은 게임 플레이 배경에 최적화된 오디오","Pixel Village","cute slow retro 8-bit chiptune, nostalgic square-wave bleeps and bloops, cheerful simple melody, vintage vintage video game town safe zone background, 85 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Arcade Overdrive","mid-tempo energetic 8-bit chiptune pop, driving synth drum grid, rapid arpeggiator synth loops, classic 90s sidescroller arcade gaming action energy, 120 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Cyber Boss Fight","fast aggressive hybrid synthwave gaming score, frantic chugging chiptune bassline, pounding electronic drums, high-voltage techno boss level montage, 145 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","79","Scary","비디오 씬 / 영상 연출","07_Video_Scenes_and_Cues","Horror Scene","공포 영화나 탈출 게임 등에 어울리는 기괴하고 오싹한 사운드 텍 쳐","Haunted Corridor","ultra-slow horrific ambient horror soundscape, screeching avant-garde violin textures, cold heavy metal scraping noises, ominous breathing wind, no beats, 50 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","The Lurking Shadow","slow tense horror suspense score, low ominous repeating piano notes, shivering string ensemble pads, sudden metallic jump-scare audio impacts, 75 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Monster Pursuit","fast frantic horror action chase, chaotic screaming orchestral brass section, rapid dissonant drum battering, intense panicking escape atmosphere, 130 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","80","Suspenseful","비디오 씬 / 영상 연출","07_Video_Scenes_and_Cues","Crime Scene","범죄 현장이나 프로파일링처럼 손에 땀을 쥐게 하는 은근한 긴장감의 추리 음악","Cold Evidence","slow minimalistic crime scene investigation, cold crystalline piano notes, spacious sweeping sub bass pad, eerie digital ticking sound, forensic lab mood, 68 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Forensic Puzzle","mid-tempo investigative thriller, plucky dark pizzicato string ostinato, steady subtle electronic heartbeat kick drum, analytical thinking mood, 98 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","The Suspect Flees","fast urgent crime scene action, frantic syncopated acoustic percussion rolls, sharp dark low cello stabs, racing dark synthesizer pulse, high tension, 130 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","81","Comical","비디오 씬 / 영상 연출","07_Video_Scenes_and_Cues","Cartoons","애니메이션 속 우스꽝스럽고 생동감 넘치는 효과음 및 통통 튀는 배경음악","Wobbly Penguin Walk","slow whimsical slapstick cartoon background, funny boing sound fx, sliding trombone wails, plucky tip-toe marimba loop, comedic cute animation vibe, 80 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Looney Chase Jam","classic mid-tempo goofy cartoon jazz, frantic acoustic upright bass walking, silly xylophone melodies, sudden brass horn honks, whimsical funny pursuit, 115 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Mischief Mayhem","fast hyperactive cartoon slapstick comedy, chaotic rapid woodwind runs, explosive sound effects hits, frantic jazzy snare drum rolls, funny anime, 145 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","82","Minimal","비디오 씬 / 영상 연출","07_Video_Scenes_and_Cues","Small Drama","인물 간의 잔잔한 대화나 잔잔한 감정선을 차분하게 이끄는 연주곡","Quiet Confession","minimalist slow small drama, gentle solo acoustic piano melody, subtle warm cello string pad accompaniment, heartfelt intimate conversation background, 65 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Family Memories","mid-tempo warm nostalgic indie drama, gentle acoustic guitar streaming loop, soft acoustic piano notes, light brushed snare drum kit, tender storytelling, 95 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Rising Conflict","upbeat fast emotional drama background, driving rhythmic cello staccato, acoustic guitar building in volume, passionate swelling strings, rising family tension, 120 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","83","Sad","비디오 씬 / 영상 연출","07_Video_Scenes_and_Cues","Drama Scene","드라마나 영화 속 메인 서사를 몰입감 있게 이끌어주는 연주곡","The Lost Farewell","slow deeply emotional orchestral drama theme, weeping solo violin, heavy slow melancholy piano chords, grand sorrowful symphonic string pads, heartbreak, 65 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Turning Point","mid-tempo cinematic storytelling drama score, driving soft rhythmic percussion, swelling inspiring violin melodies, majestic emotional transformation vibe, 105 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Triumphant Destiny","fast passionate epic drama score, grand soaring symphonic strings, powerful orchestral drum build-up, victorious inspirational cinematic climax theme, 125 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","84","Calm","비디오 씬 / 영상 연출","07_Video_Scenes_and_Cues","Jingles","광고, 방송, 로고 인트로 등에 쓰이는 5초 이내의 매우 짧은 시그널 송","Soft Ambient Logo","slow peaceful 5-second corporate jingle string, warm expanding synth chord fade-in, crystal clean digital chime note strike, clear sleek branding wrap, 80 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Pop Up Flash","mid-tempo snappy 5-second commercial jingle, bright acoustic guitar strum, cheerful whistle note, energetic crisp percussion hit, trendy promo pop, 120 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Sonic Boom Opener","fast explosive 5-second hybrid cinematic stinger, thunderous sudden bass drop, bright sharp futuristic electronic laser screech, high impact opener, 140 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","85","Nostalgic","비디오 씬 / 영상 연출","07_Video_Scenes_and_Cues","Vaudeville & Variety Show","과거 극장식 쇼 무대의 오프닝처럼 임팩트 있고 유쾌한 레트로 예능풍 사운드","Backstage Banter","slow retro vaudeville swing, lazy muted trombone slides, tip-toe plucky upright bass, vintage ragtime piano chords, smoky classic broadway backstage, 80 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Live From New York","classic mid-tempo vintage television variety show theme, explosive bright big band brass section, driving jazzy drums, showtime entertainment energy, 115 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","The Grand Finale","fast high-energy vaudeville show dance, frantic tap-dancing style percussion snare rolls, blazing loud trumpets, upbeat retro circus variety show finish, 140 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","86","Groovy","비디오 씬 / 영상 연출","07_Video_Scenes_and_Cues","Show Dance","뮤지컬이나 화려한 무대 공연의 댄스 시퀀스에 걸맞은 연출력 있는 비트","Broadway Rehearsal","slow jazz show dance style, smooth retro horn melody stabs, slow steady snapping fingers percussion, groovy walking bassline, classy musical theatre, 85 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Spotlight Glamour","mid-tempo high-energy show dance pop, flashy modern electronic brass synth leads, punchy theatrical drums, driving funky bassline, cabaret stage vibe, 122 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Curtain Call Riot","fast explosive broadway show dance finale, thunderous tap-dance style drums, blazing frantic brass orchestra sections, maximum celebratory energy, 142 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","87","Dramatic","비디오 씬 / 영상 연출","07_Video_Scenes_and_Cues","Tragedy","깊은 슬픔, 비극적인 결말, 무거운 좌절감을 담아내는 비장하고 애절한 사운드","The Last Tear","slow deep tragic cinematic orchestral, weeping lonely solo violin, slow mourning church organ chords, heavy grand sorrowful sub impacts, tragic ending, 55 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Shattered Kingdom","mid-tempo cinematic tragedy score, driving solemn cello ostinatos, dark heavy low piano notes, rising dramatic symphonic string cries, 95 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Fallen Empire","fast furious tragic battle orchestral, chaotic aggressive symphonic brass section blasts, rapid complex thunderous percussion, epic tragic historical climax, 130 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","88","Comical","비디오 씬 / 영상 연출","07_Video_Scenes_and_Cues","Bloopers","NG 장면이나 재미있는 실수 모음, 홈비디오의 코믹한 순간용 효과음","Silly Slide","slow comedic blooper track, funny slide whistle sliding down, lazy acoustic tuba oompah bassline, sporadic random percussion pops, funny mistake vlog, 75 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Awkward Silence","mid-tempo goofy blooper jam, plucky xylophone melody stumbles, funny spring boing sound effects, acoustic upright bass, light-hearted comedy edit, 105 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Clumsy Chaos Run","fast hyperactive slapstick blooper run, chaotic rapid snare drum rolls, funny duck horn honks, sliding trombone, funny viral video failure montage, 135 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","89","Dreamy","감정 / 공간 / 이벤트","08_Emotions_Spaces_Events","Cafe","세련되고 잔잔한 어쿠스틱이나 보사노바풍으로 일상 브이로그나 매장용 무드","Rainy Window Cozy","slow moody cafe jazz piano solo, warm delicate chord voicings, intimate acoustic space reverb, relaxing rainy day coffee shop background, 60 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Afternoon Bossa Lounge","classic mid-tempo bossa nova cafe mood, breezy nylon acoustic guitar loops, gentle warm shaker, soft fluid bassline, sophisticated sunny lifestyle, 110 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","阳光시트러스 팝","upbeat bright cafe pop indie, cheerful acoustic guitar strumming, playful glockenspiel bells, light bouncy percussion, happy breakfast coffee vlog, 125 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","92","Groovy","감정 / 공간 / 이벤트","08_Emotions_Spaces_Events","Elevator Music","공공장소나 라운지 등에서 흐르는 자극적이지 않고 편안한 이지리스닝 배경음","Lobby Serenade","slow gentle lounge elevator music, warm soft rhodes piano chords, muted easy-listening jazzy saxophone melodies, tranquil backdrop, 65 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Muzak Cruise","classic mid-tempo elevator music, breezy bossa nova style drum pattern, clean acoustic guitar strumming, soft smooth synthesizer strings, 100 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Ritz Promenade","upbeat fast easy-listening pop jazz, cheerful piano chords, light shuffling high-hats, warm fluid bassline, sophisticated shopping mall vibe, 125 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","93","Nostalgic","감정 / 공간 / 이벤트","08_Emotions_Spaces_Events","Vintage","빛바랜 필름이나 옛 추억을 소환하는 따뜻하고 먹먹한 아날로그 질감 사운드","Dusty Memories","slow cinematic vintage background, scratchy vinyl record crackle noise, nostalgic warped piano loops, warm low-pass filters, retro home video vibe, 70 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Super 8 Journey","mid-tempo indie folk vintage style, warm acoustic guitar strumming, organic analog tape saturation, soft rustic drums, nostalgic road trip, 105 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Retro Funk Revival","fast retro 70s funk rock, crunchy overdriven electric guitars, punchy vintage acoustic drums, bouncy bassline, raw unpolished old-school energy, 132 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","94","Calm","감정 / 공간 / 이벤트","08_Emotions_Spaces_Events","Meditation/Spiritual","셀프 케어나 치유, 요가, 깊은 사색을 도울 때 흐르는 고요한 테마","Zen Breath","ultra-slow pure ambient meditation, sweeping celestial synthesizer drone pads, no beats, gentle tibetan singing bowl chime strikes, calming yoga soundscape, 50 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Sacred River","slow relaxing new age spiritual theme, fluid airy native flutes, soft warm acoustic guitar plucking, gentle natural water streams fx, deep focus, 72 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Cosmic Awakening","mid-tempo pulsing spiritual electronic ambient, hypnotic ticking percussive loops, ethereal floating vocal pad textures, majestic expansion, 95 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","95","Calm","감정 / 공간 / 이벤트","08_Emotions_Spaces_Events","Small Emotions","소소한 일상, 잔잔한 감동을 담담하게 표현하는 섬세한 무드","Tender Smile","minimalist slow indie drama, gentle solo acoustic piano melody, soft warm cello string backing, heartfelt intimate daily life vlog atmosphere, 65 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Afternoon Sketches","mid-tempo light acoustic guitar fingerpicking loop, cheerful glockenspiel bells, soft skipping percussion, heartwarming casual morning story, 95 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Joyful Steps","upbeat fast happy acoustic pop, bright rhythmic guitar strumming, lively clapping loops, crisp clean drums, charming positive energy, 122 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","96","Romantic","감정 / 공간 / 이벤트","08_Emotions_Spaces_Events","Nostalgia","그리움, 추억, 아날로그적인 과거의 기억을 소환하는 따뜻하고도 쓸쓸한 감성","Faded Photograph","slow emotional solo piano waltz, nostalgic weeping violin notes, quiet space reverb, deep melancholic reflection, beautiful tragic echo, 60 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Old School Days","mid-tempo warm nostalgic indie pop, gentle electric guitar chords, light brushed snare drum kit, tender storytelling background vibe, 100 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Youthful Run","fast driving alternative indie rock, nostalgic soaring clean electric guitar theme, energetic acoustic drums, emotional teenage summer vibe, 135 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","97","Horror","감정 / 공간 / 이벤트","08_Emotions_Spaces_Events","Supernatural","초자연적 현상이나 공상과학, 유령 연출에 어울리는 오싹하고 기묘한 사운드","Eerie Whisper","ultra-slow supernatural ambient horror, screeching avant-garde cello textures, hollow wind chimes, cold creeping synthesizer pads, no beats, 50 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Paranormal Activity","slow tense mystery sci-fi background, low metallic electronic pulse, sudden dissonant string swells, investigative thriller vibe, 72 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Alien Inversion","fast aggressive electronic glitch core, frantic distorted bass modulation, chaotic rhythmic metallic bleeps, sci-fi horror action pursuit, 140 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
